Sput_QMC,Vput_QMC
8.9071054614,100.0000000000
10.4889281915,100.0000000000
10.5229715091,100.0000000000
12.1447409346,100.0000000000
13.4489310328,100.0000000000
16.3299803603,100.0000000000
17.4731670660,100.0000000000
19.3780872533,100.0000000000
19.3886123171,100.0000000000
19.7091130442,100.0000000000
19.7869261763,100.0000000000
19.9306164777,100.0000000000
19.9547532262,100.0000000000
20.5141984589,100.0000000000
20.7368782879,100.0000000000
21.0271306486,100.0000000000
21.2517286339,100.0000000000
21.5413247579,100.0000000000
21.6243264066,100.0000000000
21.7452711906,100.0000000000
21.8139532752,100.0000000000
21.9936278071,100.0000000000
22.1841723259,100.0000000000
22.2602095586,100.0000000000
22.8686554551,100.0000000000
22.8959319319,100.0000000000
23.1698822728,100.0000000000
23.5497150407,100.0000000000
23.6354391955,100.0000000000
23.7379955059,100.0000000000
23.8235792920,100.0000000000
24.0283054781,100.0000000000
24.1680537878,100.0000000000
24.1970080680,100.0000000000
24.2290817769,100.0000000000
24.3467611695,100.0000000000
24.4144326177,100.0000000000
24.5515826448,100.0000000000
24.5527163100,100.0000000000
24.8077883952,100.0000000000
25.0567467062,100.0000000000
25.2069752674,100.0000000000
25.4531263014,100.0000000000
25.4730745305,100.0000000000
25.5309763049,100.0000000000
25.9229650048,100.0000000000
25.9722192216,100.0000000000
26.0529731513,100.0000000000
26.1289016816,100.0000000000
26.2148573377,100.0000000000
26.2768904001,100.0000000000
26.9041534088,100.0000000000
27.0107759098,100.0000000000
27.0111802849,100.0000000000
27.2053010557,100.0000000000
27.3824771334,100.0000000000
27.3880468289,100.0000000000
27.5549988591,100.0000000000
27.8399823569,100.0000000000
28.0912168760,100.0000000000
28.3967548149,100.0000000000
28.4916865440,100.0000000000
28.5416812908,100.0000000000
28.6062671951,100.0000000000
28.6442565012,100.0000000000
28.6714311486,100.0000000000
28.6722039335,100.0000000000
28.7293712041,100.0000000000
28.7429921019,100.0000000000
28.7864428713,100.0000000000
28.8008025341,100.0000000000
28.9417680609,100.0000000000
28.9909601180,100.0000000000
29.2058550088,100.0000000000
29.2343530991,100.0000000000
29.2556655981,100.0000000000
29.3023257605,100.0000000000
29.5402091332,100.0000000000
29.6283608541,100.0000000000
29.6613385332,100.0000000000
29.6617521841,100.0000000000
29.7307044497,100.0000000000
29.9315487390,100.0000000000
29.9931098646,100.0000000000
30.0264439686,100.0000000000
30.1491629137,100.0000000000
30.2705126999,100.0000000000
30.3968793585,100.0000000000
30.5955994481,100.0000000000
30.6050084445,100.0000000000
30.7893690775,100.0000000000
30.7966848666,100.0000000000
30.9055572313,100.0000000000
30.9538770264,100.0000000000
30.9639063086,100.0000000000
31.0832174233,100.0000000000
31.1193038121,100.0000000000
31.1604042618,100.0000000000
31.2720075598,100.0000000000
31.2789882696,100.0000000000
31.4593859965,100.0000000000
31.7091509166,100.0000000000
31.7648936533,100.0000000000
31.8453809703,100.0000000000
31.8488786550,100.0000000000
31.8674641767,100.0000000000
31.9140312947,100.0000000000
31.9431380690,100.0000000000
32.0013340896,100.0000000000
32.1076089101,100.0000000000
32.1811263933,100.0000000000
32.2546282941,100.0000000000
32.2785090264,100.0000000000
32.3613260818,100.0000000000
32.3836304059,100.0000000000
32.3949934633,100.0000000000
32.4966975381,100.0000000000
32.4996253895,100.0000000000
32.5006358280,100.0000000000
32.5406006355,100.0000000000
32.5760542725,100.0000000000
32.6489117249,100.0000000000
32.6582869411,100.0000000000
32.6862274156,100.0000000000
32.7064087967,100.0000000000
32.7267375603,100.0000000000
32.7969927501,100.0000000000
32.8542044386,100.0000000000
32.8953321236,100.0000000000
32.9483344471,100.0000000000
33.2448964645,100.0000000000
33.3172047162,100.0000000000
33.4093420936,100.0000000000
33.4332893663,100.0000000000
33.5667286597,100.0000000000
33.6156309726,100.0000000000
33.6439112897,100.0000000000
33.7257113316,100.0000000000
