sigma,lambda,sse_rel,rmse_rel,mae_rel,bias_rel
0.034,0.035,58.021582437099,0.9376112656162953,0.9208843256230135,-0.9208843256230135
0.0345,0.035,58.01569426536196,0.9375636888698828,0.9208375103560285,-0.9208375103560285
0.035,0.035,58.00969977988046,0.9375152506224653,0.9207897837433564,-0.9207897837433564
0.0355,0.035,58.00359805285278,0.9374659432428432,0.9207411353130868,-0.9207411353130868
0.036,0.035,57.99738819693199,0.9374157594227447,0.9206915549915842,-0.9206915549915842
0.0365,0.035,57.99106936725052,0.9373646921932053,0.920641033124354,-0.920641033124354
0.037,0.035,57.98464076306712,0.9373127349379046,0.9205895604930133,-0.9205895604930133
0.0375,0.035,57.978101629054365,0.9372598814036065,0.9205371283285629,-0.9205371283285629
0.038,0.035,57.97145125624692,0.9372061257078654,0.9204837283211749,-0.9204837283211749
0.0385,0.035,57.9646889826721,0.9371514623441718,0.9204293526267269,-0.9204293526267269
0.039,0.035,57.95781419368498,0.9370958861847158,0.9203739938703144,-0.9203739938703144
0.0395,0.035,57.95082632203096,0.9370393924809539,0.9203176451469891,-0.9203176451469891
0.04,0.035,57.943724847658956,0.9369819768621644,0.9202603000199605,-0.9202603000199605
0.0405,0.035,57.93650929730794,0.9369236353321757,0.9202019525165018,-0.9202019525165018
0.041,0.035,57.929179243889784,0.9368643642644505,0.9201425971217997,-0.9201425971217997
0.0415,0.035,57.921734305690165,0.9368041603957038,0.9200822287709697,-0.9200822287709697
0.042,0.035,57.914174145409106,0.9367430208182248,0.9200208428394656,-0.9200208428394656
0.0425,0.035,57.90649846906138,0.9366809429710699,0.9199584351320866,-0.9199584351320866
0.043,0.035,57.898707024756405,0.9366179246302803,0.9198950018707858,-0.9198950018707858
0.0435,0.035,57.89079960137585,0.9365539638982762,0.9198305396814651,-0.9198305396814651
0.044,0.035,57.88277602716618,0.9364890591925601,0.9197650455799355,-0.9197650455799355
0.0445,0.035,57.874636168262214,0.9364232092338655,0.9196985169572004,-0.9196985169572004
0.045,0.035,57.86637992715636,0.9363564130338627,0.9196309515642151,-0.9196309515642151
0.0455,0.035,57.85800724112712,0.9362886698825372,0.9195623474962611,-0.9195623474962611
0.046,0.035,57.849518080639434,0.9362199793353366,0.9194927031770559,-0.9194927031770559
0.0465,0.035,57.84091244772775,0.9361503412001773,0.9194220173427141,-0.9194220173427141
0.047,0.035,57.83219037437209,0.936079755524393,0.9193502890256613,-0.9193502890256613
0.0475,0.035,57.8233519208761,0.9360082225816966,0.9192775175385879,-0.9192775175385879
0.048,0.035,57.814397174254935,0.9359357428592192,0.9192037024585265,-0.9192037024585265
0.0485,0.035,57.80532624664006,0.9358623170446833,0.9191288436111181,-0.9191288436111181
0.049,0.035,57.796139273706935,0.9357879460137594,0.9190529410551329,-0.9190529410551329
0.0495,0.035,57.78683641313103,0.9357126308176471,0.918975995067291,-0.918975995067291
0.05,0.035,57.77741784307631,0.9356363726709177,0.9188980061274333,-0.9188980061274333
0.0505,0.035,57.7678837607203,0.9355591729396489,0.9188189749040768,-0.9188189749040768
0.051,0.035,57.758234380818585,0.9354810331298739,0.9187389022403832,-0.9187389022403832
0.0515,0.035,57.74846993431134,0.9354019548763705,0.9186577891405675,-0.9186577891405675
0.052,0.035,57.73859066697395,0.9353219399318008,0.9185756367567649,-0.9185756367567649
0.0525,0.035,57.728596838113184,0.9352409901562172,0.9184924463763703,-0.9184924463763703
