sigma,lambda,sse_rel,rmse_rel,mae_rel,bias_rel
0.658,0.035,0.751351240108817,0.10669634341728136,0.0612330206585659,-0.011772332373735771
0.6581,0.035,0.7502238430394698,0.10661626482315187,0.06126218018420901,-0.011502531725855646
0.6582,0.035,0.7491073771553188,0.10653690334846695,0.0612913248410597,-0.011232704949588704
0.6583,0.035,0.7480018469891128,0.10645826091955879,0.061324192099115174,-0.01096285205277591
0.6584,0.035,0.7469072570731451,0.10638033945386892,0.061360704651278526,-0.010692973043257708
0.6585,0.035,0.7458236119392504,0.10630314085978508,0.06139720231376066,-0.010423067928872865
0.6586,0.035,0.7447509161188244,0.10622666703647986,0.06143903749791391,-0.010153136717459564
0.6587,0.035,0.743689174142794,0.10615091987374549,0.06148237451642142,-0.009883179416854333
0.6588,0.035,0.7426383905416633,0.106075901251834,0.0615256965671115,-0.009613196034892585
0.6589,0.035,0.7415985698454235,0.10600161304128773,0.061569003651014774,-0.009343186579408594
0.659,0.035,0.7405697165836698,0.10592805710278441,0.061612295769164334,-0.009073151058235425
0.6591,0.035,0.7395518352855205,0.10585523528696822,0.061655572922595575,-0.008803089479205462
0.6592,0.035,0.7385449304796269,0.10578314943428736,0.06169883511234446,-0.008533001850148722
0.6593,0.035,0.7375490066941884,0.10571180137483206,0.061742082339449396,-0.008262888178895119
0.6594,0.035,0.7365640684569639,0.10564119292817235,0.06178531460495027,-0.007992748473272627
0.6595,0.035,0.7355901202952367,0.10557132590319274,0.06182853190988846,-0.00772258274110855
0.6596,0.035,0.7346271667358443,0.10550220209793154,0.06187173425530733,-0.007452390990229006
0.6597,0.035,0.7336752123051618,0.10543382329941732,0.06191492164225204,-0.0071821732284584145
0.6598,0.035,0.7327342615291025,0.10536619128350641,0.06195809407176892,-0.006911929463619931
0.6599,0.035,0.7318043189331221,0.1052993078147213,0.06200125154490624,-0.006641659703536852
0.66,0.035,0.7308853890422286,0.10523317464608949,0.0620443940627144,-0.006371363956029976
0.6601,0.035,0.7299774763809471,0.10516779351897954,0.06208752162624418,-0.006101042228918871
0.6602,0.035,0.7290805854733704,0.10510316616294349,0.06213063423655004,-0.005830694530022703
0.6603,0.035,0.7281947208430872,0.10503929429555105,0.0621737318946859,-0.005560320867158498
0.6604,0.035,0.7273198870132873,0.10497617962223674,0.06221681460170934,-0.00528992124814293
0.6605,0.035,0.7264560885066491,0.10491382383613193,0.062259882358678256,-0.005019495680791244
0.6606,0.035,0.7256033298454031,0.10485222861791003,0.062302935166652536,-0.0047490441729169134
0.6607,0.035,0.7247616155513128,0.10479139563562609,0.062345973026694035,-0.0044785667323330594
0.6608,0.035,0.7239309501456919,0.10473132654455977,0.06238899593986601,-0.004208063366850909
0.6609,0.035,0.7231113381493932,0.1046720229870567,0.06243200390723358,-0.003937534084281395
0.661,0.035,0.722302784082782,0.10461348659236938,0.062480743939640884,-0.0036669788924330545
0.6611,0.035,0.7215052924657713,0.10455571897650316,0.0625352685243686,-0.003396397799114083
0.6612,0.035,0.7207188678178202,0.10449872174206032,0.06258977930537184,-0.0031257908121310623
0.6613,0.035,0.7199435146579036,0.1044424964780826,0.0626442762832134,-0.0028551579392895993
0.6614,0.035,0.7191792375045425,0.10438704475989916,0.0626987594584579,-0.002584499188393549
0.6615,0.035,0.7184260408757941,0.10433236814897205,0.06275322883167236,-0.002313814567246972
0.6616,0.035,0.7176839292892351,0.10427846819274234,0.06280768440342502,-0.0020431040836509868
0.6617,0.035,0.7169529072619879,0.1042253464244799,0.0628676497551369,-0.0017723677454063703
0.6618,0.035,0.7162329793107164,0.10417300436313219,0.06293363523020909,-0.0015016055603127771
0.6619,0.035,0.7155241499515784,0.10412144351317043,0.06300290539477377,-0.001230817536168489
0.662,0.035,0.714826423700306,0.10407066536444637,0.06308109982663132,-0.0009600036807703577
0.6621,0.035,0.7141398050721375,0.10402067139203904,0.06315928300875635,-0.000689164001914639
0.6622,0.035,0.7134642985818541,0.10397146305611023,0.06323745494062719,-0.0004182985073957829
0.6623,0.035,0.7127999087437517,0.10392304180175622,0.06331561562172512,-0.0001474072050071854
0.6624,0.035,0.7121466400716816,0.10387540905886576,0.06339905609720645,0.00012350989745904607
0.6625,0.035,0.7115044970789911,0.10382856624197168,0.06348347916256013,0.000394452792211871
0.6626,0.035,0.7108734842785929,0.10378251475011321,0.06356789085017947,0.000665421471461328
0.6627,0.035,0.7102536061829006,0.10373725596668969,0.06365229115947857,0.0009364159274185466
0.6628,0.035,0.7096448673038627,0.10369279125932253,0.06373668008987322,0.0012074361522967803
0.6629,0.035,0.709047272152953,0.10364912197971556,0.06382105764078194,0.0014784821383098798
0.663,0.035,0.7084608252411844,0.10360624946351804,0.06390542381162577,0.0017495538776721694
0.6631,0.035,0.7078855310790978,0.10356417503018744,0.06398977860182754,0.002020651362600234
0.6632,0.035,0.7073213941767282,0.1035228999828517,0.06407412201081156,0.002291774585311825
0.6633,0.035,0.7067684190436708,0.1034824256081804,0.06415845403800581,0.0025629235380255242
0.6634,0.035,0.7062266101890387,0.10344275317624915,0.06424277468283983,0.0028340982129608293
0.6635,0.035,0.705695972121464,0.103403883940409,0.06432708394474529,0.003105298602339144
0.6636,0.035,0.7051765093491035,0.10336581913715727,0.06441138182315614,0.003376524698382914
0.6637,0.035,0.704668226379631,0.10332855998600914,0.06449566831750828,0.0036477764933158206
0.6638,0.035,0.7041711277202654,0.1032921076893734,0.06457994342724019,0.0039190539793620945
0.6639,0.035,0.7036852178777213,0.1032564634324241,0.06466420715179244,0.004190357148748637
0.664,0.035,0.7032105013582614,0.10322162838298116,0.06475401390616395,0.004461685993701321
0.6641,0.035,0.702746982667651,0.10318760369138567,0.06484399174696923,0.004733040506450018
0.6642,0.035,0.7022946663111999,0.10315439049038301,0.06493395804885158,0.005004420679222985
0.6643,0.035,0.7018535567937114,0.10312198989500115,0.0650258411963149,0.0052758265042517774
0.6644,0.035,0.701423658619521,0.10309040300243696,0.06511953001394541,0.00554725797376877
0.6645,0.035,0.7010049762924869,0.10305963089194108,0.06521320722195768,0.005818715080006957
0.6646,0.035,0.7005975143159988,0.10302967462470562,0.0653068728197434,0.006090197815200842
0.6647,0.035,0.7002012771929444,0.10300053524375084,0.06540052680669627,0.006361706171585689
0.6648,0.035,0.6998162694257428,0.10297221377381838,0.06549416918221278,0.006633240141399547
0.6649,0.035,0.6994424955163252,0.1029447112212627,0.06558779994569079,0.006904799716880065
0.665,0.035,0.6990799599661429,0.10291802857394627,0.06568141909653072,0.007176384890266143
0.6651,0.035,0.6987286672761754,0.10289216680113682,0.06577502663413567,0.007447995653799305
0.6652,0.035,0.6983886219469108,0.10286712685340446,0.0658686225579105,0.0077196319997206875
0.6653,0.035,0.6980598284783455,0.10284290966252228,0.06596220686726194,0.007991293920274138
0.6654,0.035,0.6977422913700028,0.10281951614137025,0.06605577956159935,0.008262981407703042
0.6655,0.035,0.6974360151209302,0.10279694718383968,0.06614934064033434,0.008534694454253573
0.6656,0.035,0.697141004229669,0.10277520366473772,0.0662428901028804,0.008806433052172274
0.6657,0.035,0.6968572631942955,0.1027542864396992,0.06633642794865365,0.009078197193707371
0.6658,0.035,0.6965847965123899,0.10273419634509522,0.0664299541770715,0.009349986871107578
0.6659,0.035,0.6963236086810433,0.10271493419794676,0.06652346878755472,0.009621802076624464
0.666,0.035,0.6960737041968774,0.10269650079584146,0.06661697177952561,0.009893642802508276
0.6661,0.035,0.6958350875560145,0.10267889691684863,0.06671046315240824,0.01016550904101244
0.6662,0.035,0.6956077632540891,0.10266212331943995,0.06680394290562973,0.01043740078439137
0.6663,0.035,0.6953917357862425,0.10264618074241084,0.06689741103861842,0.010709318024899987
0.6664,0.035,0.6951870096471612,0.10263106990480744,0.06699086755080653,0.010981260754795354
0.6665,0.035,0.6949935893309965,0.1026167915058471,0.0670843124416261,0.011253228966335174
0.6666,0.035,0.6948114793314376,0.1026033462248524,0.06717774571051277,0.011525222651778185
0.6667,0.035,0.6946406841416888,0.10259073472118059,0.0672711673569046,0.011797241803384925
0.6668,0.035,0.6944812082544498,0.1025789576341554,0.0673645773802408,0.012069286413416954
0.6669,0.035,0.6943330561619381,0.10256801558300437,0.0674579757799634,0.01234135647413711
0.667,0.035,0.6941962323558769,0.10255790916679611,0.06755136255551628,0.012613451977808788
0.6671,0.035,0.6940707413275022,0.10254863896438121,0.06764473770634567,0.01288557291669775
0.6672,0.035,0.693956587567557,0.10254020553433463,0.06773810123190022,0.013157719283070156
0.6673,0.035,0.6938537755662932,0.1025326094149012,0.06783382768870891,0.013429891069194125
0.6674,0.035,0.6937623098134661,0.10252585112394279,0.06794156084618674,0.013702088267338229
0.6675,0.035,0.6936821947983538,0.10251993115888998,0.06805132604507548,0.013974310869772105
0.6676,0.035,0.6936134350097191,0.10251484999669183,0.0681610816776604,0.014246558868768041
0.6677,0.035,0.69355603493584,0.10251060809377316,0.06827082774271065,0.014518832256598606
0.6678,0.035,0.6935099990645125,0.10250720588599233,0.0683805642389963,0.014791131025536688
0.6679,0.035,0.6934753318830195,0.102504643788599,0.06849029116529057,0.015063455167858534
0.668,0.035,0.6934520378781588,0.10250292219619879,0.06860000852036847,0.01533580467583993
0.6681,0.035,0.6934401215362321,0.10250204148271745,0.06870971630300761,0.015608179541758369
0.6682,0.035,0.6934395873430372,0.10250200200136797,0.06881941451198771,0.01588057975789278
0.6683,0.035,0.6934504397839039,0.10250280408462328,0.0689291031460917,0.016153005316523188
0.6684,0.035,0.6934726833436239,0.10250444804418385,0.06903878220410321,0.01642545620993097
