sigma,lambda,sse_rel,rmse_rel,mae_rel,bias_rel
0.02,0.035,58.90066633634077,0.837375906487619,0.7607681413134868,-0.7607681413134868
0.0205,0.035,58.89735004362407,0.8373523327075424,0.760747894928125,-0.760747894928125
0.021,0.035,58.893951259474775,0.837328171850619,0.7607271404988922,-0.7607271404988922
0.0215,0.035,58.89046986090992,0.8373034229917429,0.760705876444427,-0.760705876444427
0.022,0.035,58.88690563988402,0.8372780845997346,0.7606841005424337,-0.7606841005424337
0.0225,0.035,58.88325830438794,0.8372521545450525,0.760661809926883,-0.760661809926883
0.023,0.035,58.879527479622915,0.8372256301080352,0.7606390010877033,-0.7606390010877033
0.0235,0.035,58.87571270949194,0.8371985079893932,0.7606156698746563,-0.7606156698746563
0.024,0.035,58.87181345858649,0.83717078432422,0.7605918115065944,-0.7605918115065944
0.0245,0.035,58.86782911478355,0.8371424547003389,0.7605674205868299,-0.7605674205868299
0.025,0.035,58.86375899251184,0.8371135141814048,0.7605424911249082,-0.7605424911249082
0.0255,0.035,58.85960233669598,0.8370839573348262,0.7605170165647172,-0.7605170165647172
0.026,0.035,58.8553583273489,0.8370537782642968,0.7604909898185619,-0.7604909898185619
0.0265,0.035,58.85102608475154,0.8370229706465045,0.7604644033066088,-0.7604644033066088
0.027,0.035,58.846604675137954,0.8369915277714381,0.7604372490009444,-0.7604372490009444
0.0275,0.035,58.84209311679012,0.8369594425856104,0.760409518473396,-0.760409518473396
0.028,0.035,58.83749038643992,0.8369267077374725,0.760381202946213,-0.760381202946213
0.0285,0.035,58.832795425874664,0.8368933156242815,0.7603522933447097,-0.7603522933447097
0.029,0.035,58.828007148645234,0.8368592584397049,0.7603227803509947,-0.7603227803509947
0.0295,0.035,58.82312444678212,0.8368245282214907,0.7602926544579719,-0.7602926544579719
0.03,0.035,58.81814619743299,0.8367891168985867,0.7602619060228675,-0.7602619060228675
0.0305,0.035,58.81307126934503,0.836753016337166,0.7602305253196217,-0.7602305253196217
0.031,0.035,58.80789852912534,0.8367162183850837,0.7601985025895727,-0.7601985025895727
0.0315,0.035,58.80262684722351,0.8366787149143666,0.7601658280899484,-0.7601658280899484
0.032,0.035,58.79725510359026,0.8366404978614105,0.7601324921397715,-0.7601324921397715
0.0325,0.035,58.79178219297626,0.8366015592646256,0.7600984851628644,-0.7600984851628644
0.033,0.035,58.78620702984347,0.836561891299339,0.7600637977277194,-0.7600637977277194
0.0335,0.035,58.78052855287046,0.8365214863098148,0.7600284205840712,-0.7600284205840712
0.034,0.035,58.77474572903984,0.836480336838315,0.7599923446960697,-0.7599923446960697
0.0345,0.035,58.768857557302795,0.8364384356511584,0.7599555612720099,-0.7599555612720099
0.035,0.035,58.762863071821286,0.836395775761785,0.7599180617906246,-0.7599180617906246
0.0355,0.035,58.7567613447936,0.8363523504508645,0.7598798380239837,-0.7598798380239837
0.036,0.035,58.750551488872766,0.8363081532835163,0.7598408820570887,-0.7598408820570887
0.0365,0.035,58.744232659191226,0.8362631781237351,0.759801186304264,-0.759801186304264
0.037,0.035,58.73780405500773,0.8362174191461366,0.7597607435224946,-0.7597607435224946
0.0375,0.035,58.73126492099476,0.8361708708451506,0.759719546821852,-0.759719546821852
0.038,0.035,58.72461454818696,0.8361235280418097,0.7596775896731851,-0.7596775896731851
0.0385,0.035,58.71785227461154,0.8360753858882778,0.759634865913253,-0.759634865913253
0.039,0.035,58.71097748562338,0.8360264398702849,0.7595913697474858,-0.7595913697474858
0.0395,0.035,58.70398961396768,0.8359766858076253,0.7595470957505633,-0.7595470957505633
0.04,0.035,58.69688813959292,0.8359261198528831,0.7595020388650019,-0.7595020388650019
0.0405,0.035,58.68967258923754,0.8358747384885513,0.7594561943979368,-0.7594561943979368
0.041,0.035,58.68234253581256,0.8358225385227,0.7594095580162885,-0.7594095580162885
0.0415,0.035,58.67489759760245,0.8357695170833545,0.7593621257404876,-0.7593621257404876
0.042,0.035,58.667337437305505,0.8357156716117309,0.7593138939369378,-0.7593138939369378
0.0425,0.035,58.65966176093405,0.8356609998544782,0.7592648593093754,-0.7592648593093754
0.043,0.035,58.65187031659416,0.8356054998550606,0.759215018889287,-0.759215018889287
0.0435,0.035,58.64396289316291,0.8355491699444123,0.7591643700255307,-0.7591643700255307
0.044,0.035,58.63593931888052,0.835492008730987,0.7591129103732983,-0.7591129103732983
0.0445,0.035,58.627799459873515,0.8354340150903139,0.7590606378825461,-0.7590606378825461
0.045,0.035,58.61954321862334,0.8353751881541678,0.7590075507860123,-0.7590075507860123
0.0455,0.035,58.61117053239421,0.8353155272994451,0.7589536475869297,-0.7589536475869297
0.046,0.035,58.60268137163258,0.8352550321368388,0.7588989270465285,-0.7588989270465285
0.0465,0.035,58.59407573834921,0.8351937024993863,0.7588433881714202,-0.7588433881714202
0.047,0.035,58.58535366449415,0.8351315384309668,0.7587870302009427,-0.7587870302009427
0.0475,0.035,58.57651521033337,0.8350685401748068,0.7587298525945327,-0.7587298525945327
0.048,0.035,58.56756046283509,0.8350047081620551,0.7586718550191932,-0.7586718550191932
0.0485,0.035,58.55848953407278,0.834940043000471,0.7586130373371055,-0.7586130373371055
0.049,0.035,58.54930255965085,0.834874545463275,0.7585533995934377,-0.7585533995934377
0.0495,0.035,58.53999969715828,0.8348082164781941,0.7584929420043863,-0.7584929420043863
0.05,0.035,58.530581124654674,0.8347410571167355,0.7584316649454875,-0.7584316649454875
0.0505,0.035,58.521047039192254,0.8346730685837153,0.7583695689402274,-0.7583695689402274
0.051,0.035,58.51139765537737,0.8346042522070635,0.7583066546489716,-0.7583066546489716
0.0515,0.035,58.50163320397351,0.8345346094279241,0.7582429228582372,-0.7582429228582372
0.052,0.035,58.491753930548086,0.8344641417910635,0.7581783744703209,-0.7581783744703209
0.0525,0.035,58.48176009416457,0.8343928509355981,0.7581130104932908,-0.7581130104932908
0.053,0.035,58.471651966120945,0.8343207385860507,0.7580468320313563,-0.7580468320313563
0.0535,0.035,58.46142982873527,0.8342478065437385,0.757979840275613,-0.757979840275613
0.054,0.035,58.45109397417882,0.8341740566784981,0.7579120364951749,-0.7579120364951749
0.0545,0.035,58.4406447033569,0.8340994909207468,0.7578434220286825,-0.7578434220286825
0.055,0.035,58.430082324837485,0.8340241112538817,0.7577739982761947,-0.7577739982761947
0.0555,0.035,58.4194071538268,0.8339479197070117,0.7577037666914561,-0.7577037666914561
0.056,0.035,58.40861951119227,0.8338709183480226,0.7576327287745364,-0.7576327287745364
