T,K,P_mkt,P_model,rel_resid
0.3279680365296804,160.0,133.4478778192159,134.38775060984185,0.007042995407534338
0.3279680365296804,190.0,107.63647181459936,108.63365197558547,0.009264333400891455
0.3279680365296804,220.0,84.15904173892724,85.86664061786759,0.020290141661041587
0.3279680365296804,250.0,63.7304660729827,66.57369938957679,0.044613408496622015
0.3279680365296804,280.0,47.06971297476586,50.803934454197055,0.07933384852873694
0.3279680365296804,310.0,34.292511412413795,38.285351980142906,0.11643476675446154
0.3279680365296804,340.0,25.02090382489726,28.573644741466147,0.1419909105375203
0.3279680365296804,370.0,18.373433573979607,21.171972442317603,0.1523144194616556
0.3279680365296804,400.0,13.811738367681002,15.606335624862165,0.12993275787647843
0.3279680365296804,430.0,10.718563640002534,11.463143930615235,0.06946642438487448
0.3279680365296804,460.0,8.587140676834705,8.401405072562735,-0.021629505240670425
0.3279680365296804,490.0,7.035706933298045,6.150555866364892,-0.12580840494421106
0.3279680365296804,520.0,5.924178210508727,4.501605481132674,-0.24012996888793675
0.3279680365296804,580.0,4.551904053778823,2.4159603332568103,-0.46924181513642205
0.4045662100456621,160.0,135.723984346649,135.51170729390233,-0.0015640349328714515
0.4045662100456621,190.0,110.73373057911692,110.84247463926467,0.0009820319389496877
0.4045662100456621,220.0,88.29077998529499,89.18255396123628,0.010100420180791447
0.4045662100456621,250.0,68.66119197747112,70.79750749288013,0.031113871662903407
0.4045662100456621,280.0,52.37269260726517,55.61447191686821,0.061898274620185136
0.4045662100456621,310.0,39.77509806314038,43.341686511545355,0.08966887882320852
0.4045662100456621,340.0,30.173417047092144,33.58231952675987,0.11297701133243855
0.4045662100456621,370.0,23.10436744701239,25.916212354392446,0.12170187796003279
0.4045662100456621,400.0,17.963229222880358,19.94843919707293,0.1105152057884973
0.4045662100456621,430.0,14.357683580169647,15.332718698979324,0.0679103361879602
0.4045662100456621,460.0,11.716855602002395,11.778688661573707,0.005277274182737583
0.4045662100456621,490.0,9.820456683352273,9.050130666445172,-0.0784409566423692
0.4045662100456621,520.0,8.304102333144476,6.958884710311204,-0.16199434554943457
