sigma,lambda,sse_rel,rmse_rel,mae_rel,bias_rel
0.6619,0.035,0.7380237450512677,0.0937336490535605,0.055357044517243735,-0.0059262592135226515
0.662,0.035,0.7372797152952094,0.09368638891429273,0.05541207623592949,-0.005703805953157314
0.6621,0.035,0.7365468798345158,0.09363981651052712,0.055467098877224036,-0.0054813317681150445
0.6622,0.035,0.7358252431967569,0.09359393315686074,0.0555221124408987,-0.005258836664819257
0.6623,0.035,0.7351148099090067,0.09354874015523156,0.05557711692672692,-0.005036320649692371
0.6624,0.035,0.7344155844978879,0.09350423879479423,0.05563626958465543,-0.004813783729155697
0.6625,0.035,0.7337275714895078,0.09346043035178984,0.05569619403989214,-0.0045912259096296155
0.6626,0.035,0.733050775409533,0.09341731608942522,0.05575610931806988,-0.004368647197533586
0.6627,0.035,0.7323852007831205,0.09337489725774423,0.055816015418909,-0.0041460475992860304
0.6628,0.035,0.7317308521349539,0.09333317509350662,0.05587591234213126,-0.003923427121303695
0.6629,0.035,0.7310877339892338,0.0932921508200649,0.055935800087460366,-0.0037007857700026635
0.663,0.035,0.7304558508696902,0.09325182564724367,0.05599567865462205,-0.003478123551798652
0.6631,0.035,0.7298352072995733,0.09321220077121861,0.0560555480433433,-0.003255440473105384
0.6632,0.035,0.7292258078016178,0.09317327737439489,0.05611540825335217,-0.003032736540335666
0.6633,0.035,0.7286276568981106,0.09313505662529312,0.05617525928437967,-0.0028100117599014563
0.6634,0.035,0.7280407591108473,0.09309753967842949,0.05623510113615785,-0.0025872661382140153
0.6635,0.035,0.7274651189611339,0.09306072767419989,0.05629493380842027,-0.002364499681682869
0.6636,0.035,0.7269007409697925,0.09302462173876541,0.05635475730090247,-0.0021417123967167402
0.6637,0.035,0.7263476296571533,0.09298922298393823,0.05641457161334121,-0.001918904289723189
0.6638,0.035,0.7258057895430822,0.092954532507071,0.056474376745475334,-0.001696075367109292
0.6639,0.035,0.7252752251469333,0.09292055139094271,0.05653417269704521,-0.0014732256352799058
0.664,0.035,0.7247559409875997,0.09288728070365201,0.05659832365144409,-0.001250355100640637
0.6641,0.035,0.7242479415834681,0.0928547214985059,0.05666260879619183,-0.0010274637695938207
