right,K,expiry_iso,T,close,conId,symbol,last_trade_ts_utc
C,150.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,134.70019713481494,812379278,MSTR  251024C00150000,
C,160.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,124.71044771179106,812379348,MSTR  251024C00160000,
C,170.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,114.89076914948345,812379411,MSTR  251024C00170000,
C,180.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,104.89425445856142,812379459,MSTR  251024C00180000,
C,190.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,94.96,812379520,MSTR  251024C00190000,
C,200.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,84.98,812379580,MSTR  251024C00200000,
C,210.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,74.99,812379634,MSTR  251024C00210000,
C,220.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,65.01,812379698,MSTR  251024C00220000,
C,230.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,55.03,812379834,MSTR  251024C00230000,
C,240.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,45.04,812379964,MSTR  251024C00240000,
C,250.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,35.06,812380064,MSTR  251024C00250000,
C,260.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,25.15,812380159,MSTR  251024C00260000,
C,270.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,15.54,811850751,MSTR  251024C00270000,
C,280.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,7.44,811850890,MSTR  251024C00280000,
C,290.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,2.57,811851031,MSTR  251024C00290000,
C,300.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,0.69,811851140,MSTR  251024C00300000,
C,310.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,0.24,811851298,MSTR  251024C00310000,
C,320.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,0.13,811851429,MSTR  251024C00320000,
C,330.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,0.08,811851546,MSTR  251024C00330000,
C,340.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,0.07,811851671,MSTR  251024C00340000,
C,350.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,0.05,811851808,MSTR  251024C00350000,
C,360.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,0.04,811851931,MSTR  251024C00360000,
C,370.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,0.03,811852055,MSTR  251024C00370000,
C,380.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,0.02,811852176,MSTR  251024C00380000,
C,390.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,0.01,811852308,MSTR  251024C00390000,
P,200.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,0.02,812382496,MSTR  251024P00200000,
P,210.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,0.03,812382534,MSTR  251024P00210000,
P,220.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,0.05,812382576,MSTR  251024P00220000,
P,230.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,0.06,812382667,MSTR  251024P00230000,
P,240.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,0.08,812382775,MSTR  251024P00240000,
P,250.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,0.1,812382872,MSTR  251024P00250000,
P,260.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,0.18,812382981,MSTR  251024P00260000,
P,270.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,0.57,811852647,MSTR  251024P00270000,
P,280.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,2.47,811852761,MSTR  251024P00280000,
P,290.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,7.6,811852883,MSTR  251024P00290000,
P,300.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,15.72,811853031,MSTR  251024P00300000,
P,310.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,25.29,811853163,MSTR  251024P00310000,
P,320.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,35.18,811853286,MSTR  251024P00320000,
P,330.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,45.13,811853421,MSTR  251024P00330000,
P,340.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,55.12,811853532,MSTR  251024P00340000,
P,350.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,65.11,811853688,MSTR  251024P00350000,
P,360.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,75.1,811853806,MSTR  251024P00360000,
P,370.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,85.09,811853923,MSTR  251024P00370000,
P,380.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,95.08,811854025,MSTR  251024P00380000,
P,390.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,105.08,811854136,MSTR  251024P00390000,
P,400.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,115.08,811854261,MSTR  251024P00400000,
P,410.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,125.08,812383251,MSTR  251024P00410000,
P,420.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,135.08,812383380,MSTR  251024P00420000,
P,430.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,145.08,812383480,MSTR  251024P00430000,
P,440.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,155.08,812383574,MSTR  251024P00440000,
P,450.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,165.08,812383660,MSTR  251024P00450000,
P,460.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,175.08,812383783,MSTR  251024P00460000,
P,470.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,185.08,812383894,MSTR  251024P00470000,
P,480.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,195.08,812384031,MSTR  251024P00480000,
P,490.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,205.08,812384137,MSTR  251024P00490000,
P,500.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,215.08,812384229,MSTR  251024P00500000,
P,510.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,225.08,812384328,MSTR  251024P00510000,
P,520.0,2025-10-24T16:00:00-04:00,0.0018264840182648401,235.08,812384400,MSTR  251024P00520000,
