strike,rel_err_inf,rel_err_mean,rel_rmse,bias,n_points,rel_err_inf_pct,rel_err_mean_pct,rel_rmse_pct
250.0,0.038862261514392024,0.018463638950905425,0.022380673944530735,-0.9784896993818926,6,3.8862261514392022,1.8463638950905426,2.2380673944530733
280.0,0.051574542322861364,0.02815842220373016,0.032409189479621826,-1.013420246468609,6,5.1574542322861365,2.815842220373016,3.2409189479621827
310.0,0.08195691574411383,0.037939507861408685,0.04589436262984337,-1.2199621451574931,6,8.195691574411383,3.7939507861408686,4.5894362629843375
340.0,0.11243259305957547,0.04889647072408287,0.06155594265613565,-1.411009162138125,6,11.243259305957547,4.8896470724082866,6.155594265613565
370.0,0.14045226599361188,0.06019984807155609,0.07578358554682314,-1.5450728952983066,6,14.045226599361188,6.019984807155609,7.578358554682314
400.0,0.14803099801965594,0.06564014330818763,0.08149446433608236,-1.5284276972391826,6,14.803099801965594,6.564014330818763,8.149446433608237
430.0,0.12647948660438177,0.05953203102071111,0.0728108907745194,-1.3312624822756731,6,12.647948660438177,5.953203102071111,7.28108907745194
460.0,0.08540689736517065,0.047592091358161004,0.05682208772588157,-1.2620459029253166,6,8.540689736517065,4.7592091358161,5.682208772588157
490.0,0.0832558791889966,0.02798175710715899,0.038747238514272545,-1.0404444038338305,6,8.32558791889966,2.798175710715899,3.8747238514272544
520.0,0.08724675672768495,0.0354738909507407,0.045765120601081906,-0.9890366958576963,6,8.724675672768495,3.5473890950740703,4.576512060108191
580.0,0.22555792994010893,0.08551138314161977,0.11063978342885336,-0.8249608957866723,6,22.555792994010893,8.551138314161976,11.063978342885337
